10000 92761450 73867115 74071956 73911914 73901453 
20000 297193281 296125832 296660977 296412111 296966943 
30000 667987150 680020528 675974465 664169829 663463375 
40000 1176591588 1177441874 1176760803 1177555481 1177577886 
50000 1838900853 1839068303 1838964258 1837899522 1837507375 
60000 2646638590 2645470374 2683625017 2664533119 2704283705 
70000 2499721786 1732455664 1727788619 1726796404 1832929269 
80000 2284229162 2280135395 2247258239 2294228153 2252897291 
90000 2893590625 2850723992 2898000215 2862882043 2941176281 
100000 4029264341 3520835075 3513119849 4174992592 4207803504 
110000 4952903678 4973434695 4953099196 4875364861 4815731464 
120000 5860634795 5942151010 6006624322 6137639702 6114969580 
130000 7238896384 6494856423 5921377134 5920133036 6117727677 
140000 6898086605 6867193536 6857934304 6859882796 6857538966 
150000 9246154160 9559615223 9674802133 8228318094 8000882420 
160000 9041034604 9141955116 9145102342 10702718856 11694595172 
170000 13090257988 10875576633 10135647794 11633726097 11457323167 
180000 12773905928 11514133671 11793324917 14151376803 13024735542 
190000 15335632869 13254917731 12691436898 13558212493 13635631436 
200000 14125322946 14140733672 14009049295 17328545953 16935104685 
