10000 28388566 29624939 29754153 30769641 30964893 
20000 125617165 126575382 126555229 127381963 126703966 
30000 288025754 246982557 243877029 244245534 244636872 
40000 431035563 437790761 432559080 453939469 426165437 
50000 663606907 665389549 668986311 668551153 665336335 
60000 958727391 951620623 955256713 956459239 958279139 
70000 1302576329 1296268176 1296638853 1302866475 1308702520 
80000 1718432568 1705171352 1707563903 1709089537 2023942213 
90000 2419736741 2163815290 2171361898 2160582548 2159449084 
100000 2663722430 2665760313 2686718970 2700807591 2707066243 
110000 3866174626 3763849564 3453706654 3455710902 3458724020 
120000 4119028366 4143822609 4396478899 4286909722 4012181341 
130000 4740202752 4719870024 4773543419 4825858410 4820563096 
140000 5593674308 5673096359 8114147340 7900370215 7741118991 
150000 8735474442 8521980616 6235742408 7327943214 8904292706 
160000 10010458957 9951579082 9210792022 7781513684 7851117900 
170000 8084492947 8549043944 8887613395 8716181455 7759071614 
180000 10354590567 8806906730 8901730880 9800510288 10279550967 
190000 11151056656 11148066247 11245494856 11549999627 11783128685 
200000 13179884777 13264807231 13382461476 12047372671 10538115546 
